# clMag-control field calibration
# Hall probe parameters used to acquire this curve:
sensitivity_mT_per_mV = 0.0196
correction = 2.602
offset_mV = 2510.0
# current_A, field_mT
-3.000000, -95.275868
-2.877600, -92.995111
-2.755100, -90.647460
-2.632700, -88.146031
-2.510200, -85.520831
-2.387800, -82.720310
-2.265300, -79.775029
-2.142900, -76.668671
-2.020400, -73.415437
-1.898000, -69.987288
-1.775500, -66.405551
-1.653100, -62.670800
-1.530600, -58.762445
-1.408200, -54.711996
-1.285700, -50.522216
-1.163300, -46.182431
-1.040800, -41.704662
-0.918400, -37.111098
-0.795900, -32.412856
-0.673500, -27.604396
-0.551000, -22.698680
-0.428600, -17.744926
-0.306100, -12.715261
-0.183700, -7.637809
-0.061200, -2.546149
0.061200, 2.546149
0.183700, 7.638744
0.306100, 12.700277
0.428600, 17.728735
0.551000, 22.686853
0.673500, 27.598056
0.795900, 32.400707
0.918400, 37.111129
1.040800, 41.711469
1.163300, 46.176680
1.285700, 50.515019
1.408200, 54.712154
1.530600, 58.761722
1.653100, 62.658975
1.775500, 66.401275
1.898000, 69.980671
2.020400, 73.408935
2.142900, 76.671364
2.265300, 79.763681
2.387800, 82.714391
2.510200, 85.507752
2.632700, 88.141424
2.755100, 90.642709
2.877600, 92.978367
3.000000, 95.282792
